"Protein.IDs"	"LFQ.intensity.KES1_well1"	"LFQ.intensity.KES2_well5"	"LFQ.intensity.KES3_well9"	"LFQ.intensity.PBS1_well2"	"LFQ.intensity.PBS2_well3"	"LFQ.intensity.PBS3_well4"
"21"	"158458797-stool1_revised_scaffold16218_1_gene118736;MH0239_GL0153030;763597684-stool1_revised_scaffold53529_1_gene58362;MH0096_GL0055720;MH0415_GL0109263"	38153000	30518000	33368000	29337000	25173000	27717000
"22"	"V1.UC52-0_GL0141084;BGI-15A_GL0049529;MH0337_GL0136710;V1.FI17_GL0172820;MH0386_GL0036333;MH0288_GL0176544;159571453-stool1_revised_C699516_1_gene122497;MH0381_GL0152084;158479027-stool1_revised_scaffold25919_1_gene68695;MH0398_GL0145703;O2.UC24-2_GL0103649;MH0192_GL0081787;MH0189_GL0140444;T2D-110A_GL0046131;DLM014_GL0022584;V1.CD38-0_GL0047764;V1.CD3-3-PN_GL0069780;T2D-51A_GL0047068;NOM028_GL0072684;NOF013_GL0039454;NOF010_GL0060887;MH0389_GL0006149;MH0351_GL0005190;MH0333_GL0055355;MH0309_GL0033990;MH0274_GL0181721;MH0260_GL0121816;MH0252_GL0071199;MH0243_GL0064886;MH0229_GL0052398;MH0189_GL0115192;MH0175_GL0041601;MH0145_GL0127826;MH0130_GL0054096;MH0109_GL0081274;MH0101_GL0066612;MH0067_GL0007633;MH0057_GL0017159;MH0054_GL0043013;MH0041_GL0004178;MH0026_GL0042533;MH0016_GL0015764;MH0013_GL0006138;MH0011_GL0080003;MH0006_GL0102634;MH0003_GL0071614;764588959-stool1_revised_scaffold29489_1_gene125235;160765029-stool1_revised_scaffold20692_1_gene112751;158458797-stool1_revised_scaffold7655_1_gene27832;V1.UC41-0_GL0011586;V1.UC26-4_GL0104489;V1.CD6-0-PN_GL0110822;T2D-48A_GL0098218;T2D-135A_GL0053042;O2.UC12-1_GL0151219;O2.UC1-1_GL0140490;NOF013_GL0033823;N087A_GL0074310;N085A_GL0020459;MH0435_GL0046579;MH0414_GL0113811;MH0407_GL0046785;MH0402_GL0221464;MH0361_GL0168989;MH0338_GL0111663;MH0321_GL0095732;MH0281_GL0091229;MH0265_GL0028479;MH0264_GL0078293;MH0222_GL0172347;MH0198_GL0043864;MH0095_GL0070119;MH0070_GL0001328;MH0069_GL0064989;MH0057_GL0034152;MH0055_GL0010255;MH0047_GL0013033;MH0046_GL0001573;MH0028_GL0088427;MH0016_GL0086599;MH0012_GL0217762;MH0006_GL0030947;MH0006_GL0003724;MH0003_GL0034599;DOM005_GL0010497;765094712-stool1_revised_scaffold972_1_gene39778;160400887-stool1_revised_scaffold34489_1_gene233792;159632143-stool1_revised_scaffold46410_2_gene45130;MH0427_GL0048274;MH0107_GL0104591;MH0011_GL0061093;MH0181_GL0042674;MH0047_GL0032038;MH0047_GL0007415;MH0407_GL0195993;MH0187_GL0019473;MH0442_GL0089401;MH0243_GL0122284;MH0175_GL0104493;ED12A_GL0008380;MH0118_GL0037659;MH0057_GL0030928;MH0006_GL0158171;679189.HMPREF9019_1397;V1.CD6-0-PT_GL0234919;V1.CD6-0-PT_GL0082577;O2.CD2-0_GL0001182;MH0404_GL0116262;MH0357_GL0009732;MH0323_GL0118628;MH0152_GL0051913;MH0120_GL0089760;MH0026_GL0050630;MH0012_GL0180647;V1.UC10-2_GL0160228;MH0189_GL0046541;MH0163_GL0006240;MH0052_GL0022859;MH0026_GL0040807;MH0286_GL0115929;MH0303_GL0089998;T2D-135A_GL0070622;MH0274_GL0140855;O2.UC28-1_GL0056931;T2D-65A_GL0035229;T2D-73A_GL0032102;MH0267_GL0121500;MH0162_GL0026506;MH0440_GL0040113;MH0179_GL0034922;MH0011_GL0068255;O2.UC24-2_GL0077187"	4451200	13106000	3407000	2964000	3979600	3667500
"23"	"V1.CD38-0_GL0075165;T2D-48A_GL0068947;T2D-118A_GL0020203;T2D-113A_GL0053378;O2.UC53-0_GL0211803;NOM023_GL0026638;MH0267_GL0065148;MH0195_GL0106629;MH0188_GL0010749;MH0109_GL0024622;MH0101_GL0019525;MH0068_GL0058078;MH0051_GL0045549;MH0049_GL0018407;MH0038_GL0059301;MH0011_GL0104081;DOM005_GL0017739;765094712-stool1_revised_scaffold1755_2_gene43053;MH0336_GL0123060;O2.UC23-1_GL0031991;MH0308_GL0113008;V1.UC37-0_GL0065870;MH0199_GL0110037;MH0006_GL0078461;158479027-stool1_revised_C699348_1_gene115995;V1.CD22-0_GL0032331;MH0042_GL0023608;158499257-stool1_revised_C1266490_1_gene41641;MH0173_GL0018224;NOF010_GL0082312;MH0239_GL0168447;MH0012_GL0027540;N040A_GL0026236;MH0101_GL0022245;MH0097_GL0085510;SZEY-59A_GL0047580;T2D-134A_GL0059809;764588959-stool1_revised_scaffold44_2_gene90292"	34378000	54286000	27262000	31455000	30151000	34272000
"24"	"V1.UC32-0_GL0170005;V1.CD3-0-PN_GL0022823;V1.CD40-0_GL0086091;NOM023_GL0037460;MH0250_GL0070084;T2D-127A_GL0002118;NOF010_GL0014996;T2D-113A_GL0030823;T2D-135A_GL0050870;V1.UC41-0_GL0099910;T2D-48A_GL0002219;T2D-135A_GL0058461;T2D-113A_GL0049797;O2.UC7-0_GL0066519;NOF013_GL0007315;NOF013_GL0003642;NLF006_GL0028652;N085A_GL0008174;MH0414_GL0100398;MH0407_GL0000030;MH0402_GL0136970;MH0381_GL0089768;MH0333_GL0040836;MH0314_GL0132052;MH0267_GL0154502;MH0198_GL0171620;MH0152_GL0043422;MH0143_GL0128589;MH0101_GL0008441;MH0054_GL0057934;MH0038_GL0034784;MH0012_GL0231865;MH0011_GL0028964;MH0004_GL0024486;MH0002_GL0014724;DOM005_GL0004810;765094712-stool1_revised_scaffold3281_1_gene22673;V1.FI05_GL0082606;O2.UC36-1_GL0057515;MH0376_GL0027271;HT8A_GL0005031;160319967-stool1_revised_scaffold8303_1_gene70606;158499257-stool2_revised_scaffold6358_1_gene2320;T2D-134A_GL0005362;158499257-stool2_revised_scaffold58172_1_gene104009;158479027-stool1_revised_C708386_1_gene13857;MH0206_GL0224817;T2D-15A_GL0107085;MH0119_GL0047502;T2D-45A_GL0135454;ED13A_GL0023811;158499257-stool2_revised_C1255804_1_gene168327;MH0189_GL0045493;MH0181_GL0095303;MH0386_GL0148083;O2.UC24-2_GL0106720;N026A_GL0086372;BGI001A_GL0002020;MH0005_GL0011239;MH0427_GL0075031;MH0264_GL0108939;MH0261_GL0021860;MH0243_GL0096485;MH0132_GL0074900;MH0057_GL0015301;MH0023_GL0018748;V1.UC14-1_GL0042112;V1.UC10-2_GL0131873;V1.CD6-0-PN_GL0046034;T2D-73A_GL0002380;O2.UC12-1_GL0062062;MH0404_GL0086444;MH0319_GL0111946;MH0298_GL0024195;MH0290_GL0051985;MH0274_GL0138666;MH0265_GL0063560;MH0192_GL0013602;MH0185_GL0102590;MH0157_GL0113139;MH0069_GL0046153;MH0063_GL0001538;MH0057_GL0003209;MH0052_GL0041754;MH0047_GL0000069;MH0031_GL0020746;MH0030_GL0006862;MH0026_GL0039112;MH0010_GL0026880;MH0009_GL0040481;MH0005_GL0001068;MH0001_GL0011623;866771.HMPREF9296_1533;553171.HMPREF0648_1896;159632143-stool1_revised_C951469_1_gene93480;MH0274_GL0005981;MH0415_GL0068952;MH0348_GL0052635;MH0152_GL0053588;DLM018_GL0014759;MH0376_GL0115607;MH0187_GL0078757;160400887-stool1_revised_C1532361_1_gene153054;158479027-stool1_revised_scaffold30063_2_gene145162;MH0165_GL0017134;T2D-143A_GL0003769;158499257-stool2_revised_scaffold68166_2_gene195889;MH0055_GL0009650"	114330000	157230000	66827000	0	0	0
"25"	"V1.CD38-0_GL0071406;V1.UC34-0_GL0003452;V1.FI35_GL0075072;N040A_GL0063131;MH0376_GL0032874;MH0092_GL0035350;MH0037_GL0014327;MH0013_GL0018203;MH0165_GL0085189;V1.UC41-0_GL0062928;T2D-110A_GL0014664;V1.CD3-3-PN_GL0060405;T2D-51A_GL0015314;MH0274_GL0016542;MH0452_GL0099400;V1.CD17-4_GL0125151;158479027-stool1_revised_scaffold29208_1_gene45279;BGI-06A_GL0026871;NOF010_GL0028149"	9430000	16817000	9170300	0	7479700	8786200
"26"	"V1.CD3-3-PN_GL0042112;T2D-51A_GL0109272;SZEY-66A_GL0066418;158479027-stool1_revised_scaffold29620_1_gene23883;MH0274_GL0054155;T2D-22A_GL0027387;DOM019_GL0056654;MH0002_GL0029261;158479027-stool1_revised_C754735_1_gene3567;158499257-stool1_revised_scaffold32691_1_gene133947;T2D-47A_GL0056483;160400887-stool1_revised_C1515025_1_gene205573"	4936600	17491000	0	2270600	0	3247100
"27"	"158479027-stool1_revised_scaffold6858_1_gene87852"	0	4943000	6802000	4497700	6199100	6688100
"28"	"MH0138_GL0034392;158499257-stool1_revised_C1273810_1_gene129994;MH0428_GL0067401;SZEY-104A_GL0041709;MH0152_GL0019286;159571453-stool1_revised_scaffold1926_1_gene13693;MH0417_GL0215279;T2D-45A_GL0141028;MH0195_GL0123979;V1.CD38-0_GL0193671;V1.FI35_GL0029433;160178356-stool1_revised_scaffold16556_1_1_gene90534;MH0155_GL0039104;O2.UC47-1_GL0188292;MH0403_GL0188492;O2.UC18-1_GL0054114"	2300900	3944200	0	0	0	0
"29"	"158499257-stool1_revised_C1452272_1_gene17646"	8750100	16368000	0	0	0	0
"30"	"NOF013_GL0033850;158499257-stool1_revised_scaffold23406_1_gene204016;T2D-135A_GL0075846;MH0006_GL0179836;MH0321_GL0086276;O2.UC1-1_GL0035658;MH0003_GL0003556;MH0079_GL0025435;MH0069_GL0067913;MH0055_GL0017334;V1.UC12-4_GL0005146;SZEY-101A_GL0003881;MH0192_GL0146608;MH0314_GL0116814;MH0046_GL0024383;T2D-132A_GL0005041"	0	0	6013200	5367900	4639600	6561400
